date,air_time,block_time,fc,flight_leg,daily_utilization_air_time,daily_utilization_block time,cumulative_air_time,cumulative_block_time,cumulative_fc,cumulative_flight_leg,cumulative_daily_utilization_air_time,cumulative_daily_utilization_block_time
2025/4/19,10.48,12.32,8,8,5.24,6.16,10.48,12.32,8,8,5.24,6.16
2025/4/20,10.68,12.62,8,8,5.34,6.31,21.17,24.93,16,16,5.29,6.23
2025/4/21,10.73,13.33,9,9,5.37,6.67,31.9,38.27,25,25,5.32,6.38
2025/4/22,5.12,5.77,2,2,2.56,2.88,37.02,44.03,27,27,4.63,5.5
2025/4/23,7.18,9.07,8,8,3.59,4.54,44.2,53.1,35,35,4.42,5.31
2025/4/24,10.33,12.13,8,8,5.17,6.07,54.53,65.23,43,43,4.54,5.44
2025/4/25,11,13.02,8,8,5.5,6.51,65.53,78.25,51,51,4.68,5.59
2025/4/26,10.15,11.95,8,8,5.08,5.97,75.68,90.2,59,59,4.73,5.64
2025/4/27,10.18,11.97,8,8,5.09,5.99,85.87,102.17,67,67,4.77,5.68
2025/4/28,10.23,12.07,8,8,5.12,6.04,96.1,114.23,75,75,4.8,5.71
2025/4/29,10.3,12.22,8,8,5.15,6.11,106.4,126.45,83,83,4.84,5.75
2025/4/30,10.58,12.4,8,8,5.29,6.2,116.98,138.85,91,91,4.87,5.79
2025/5/1,10.43,12.25,8,8,5.21,6.12,127.42,151.1,99,99,4.9,5.81
2025/5/2,10.57,12.17,8,8,5.29,6.08,137.98,163.27,107,107,4.93,5.83
2025/5/3,11.32,13.15,9,9,5.66,6.58,149.3,176.42,116,116,4.98,5.88
2025/5/4,10.27,11.85,8,8,5.13,5.92,159.57,188.27,124,124,4.99,5.88
2025/5/5,10.4,11.92,8,8,5.2,5.96,169.97,200.18,132,132,5,5.89
2025/5/6,10.13,11.98,8,8,5.07,5.99,180.1,212.17,140,140,5,5.89
2025/5/7,9.97,11.88,8,8,4.99,5.94,190.07,224.05,148,148,5,5.9
2025/5/8,11.32,13.68,9,9,5.66,6.84,201.38,237.73,157,157,5.03,5.94
2025/5/9,10.18,11.93,8,8,5.09,5.96,211.57,249.67,165,165,5.04,5.94
2025/5/10,10.43,11.88,8,8,5.21,5.94,222,261.55,173,173,5.05,5.94
2025/5/11,10.05,11.68,8,8,5.03,5.84,232.05,273.23,181,181,5.04,5.94
2025/5/12,9.28,10.7,6,6,4.64,5.35,241.33,283.93,187,187,5.03,5.92
2025/5/13,8.6,10.12,7,7,4.3,5.06,249.93,294.05,194,194,5,5.88
2025/5/14,12.32,14.7,12,12,6.16,7.35,270.88,318.98,213,213,5.02,5.91
2025/5/15,8.63,10.23,7,7,4.32,5.12,270.88,318.98,213,213,5.02,5.91
2025/5/16,12.65,14.8,10,10,6.33,7.4,283.53,333.78,223,223,5.06,5.96
2025/5/17,13.93,16.98,12,12,6.96,8.49,297.47,350.77,235,235,5.13,6.05
2025/5/18,10.73,12.68,9,9,5.37,6.34,308.2,363.45,244,244,5.14,6.06
2025/5/19,10.05,11.67,8,8,5.03,5.83,318.25,375.12,252,252,5.13,6.05
2025/5/20,9.93,11.4,8,8,4.96,5.7,328.18,386.52,260,260,5.13,6.04
2025/5/21,5.05,5.73,4,4,2.52,2.87,333.23,392.25,264,264,5.05,5.94
2025/5/22,2.67,3.07,2,2,1.33,1.53,340.53,400.87,270,270,5.01,5.9
2025/5/23,7.2,8.87,8,8,3.6,4.43,347.73,409.73,278,278,4.97,5.85
2025/5/24,3.45,4.18,3,3,1.73,2.09,351.18,413.92,281,281,4.88,5.75
2025/5/25,7.38,9.28,8,8,3.69,4.64,360.62,425.58,290,290,4.87,5.75
2025/5/26,10.27,11.85,8,8,5.13,5.92,370.88,437.43,298,298,4.88,5.76
2025/5/27,5.12,5.87,4,4,2.56,2.94,376,443.3,302,302,4.82,5.68
2025/5/28,5.2,5.97,4,4,2.6,2.98,381.2,449.27,306,306,4.76,5.62
2025/5/29,9.98,11.65,8,8,4.99,5.83,391.18,460.92,314,314,4.77,5.62
2025/5/30,10.5,12.18,8,8,5.25,6.09,401.68,473.1,322,322,4.78,5.63
2025/5/31,9.97,11.75,8,8,4.99,5.88,411.65,484.85,330,330,4.79,5.64
2025/6/1,9.93,11.48,8,8,4.96,5.74,421.58,496.33,338,338,4.79,5.64
2025/6/2,10.45,12.13,8,8,5.22,6.07,432.03,508.47,346,346,4.8,5.65
2025/6/3,5.68,6.78,4,4,2.84,3.39,437.72,515.25,350,350,4.76,5.6
2025/6/4,7.35,9.02,8,8,3.67,4.51,445.07,524.27,358,358,4.73,5.58
2025/6/5,10.18,11.83,8,8,5.09,5.92,455.25,536.1,366,366,4.74,5.58
2025/6/6,8.2,9.88,7,7,4.1,4.94,463.45,545.98,373,373,4.73,5.57
2025/6/7,4.55,5.1,3,3,2.27,2.55,468,551.08,376,376,4.68,5.51
2025/6/8,0,0,0,0,0,0,468,551.08,376,376,4.59,5.4
2025/6/9,3.52,4.32,4,4,1.76,2.16,472.47,556.77,381,381,4.54,5.35
2025/6/10,5.57,6.52,4,4,2.79,3.26,478.03,563.28,385,385,4.51,5.31
2025/6/11,4.67,5.52,4,4,2.33,2.76,482.7,568.8,389,389,4.47,5.27
2025/6/12,7.2,8.25,5,5,3.6,4.12,489.9,577.05,394,394,4.45,5.25
